DestinoExportacion;Anno2019;Anno2020;Anno2021;Anno2022;Anno2023;CAGR_19_23
Estados Unidos; 24.999,5 ; 26.540,3 ; 31.038,1 ; 33.735,2 ; 38.074,3 ;11%
Puerto Rico; 2.573,6 ; 2.059,1 ; 1.934,0 ; 2.109,7 ; 2.553,5 ;0%
España; 565,6 ; 471,9 ; 680,6 ; 830,4 ; 1.590,0 ;29%
Reino Unido-No UE;; 3.218,2 ; 3.146,2 ; 1.104,5 ; 1.077,9 ;No aplica
Holanda; 1.693,2 ; 269,4 ; 222,0 ; 271,3 ; 673,7 ;-21%
Canadá; 280,7 ; 314,6 ; 524,7 ; 277,7 ; 403,1 ;9%
Panamá; 43,1 ;;; 21,1 ; 308,6 ;64%
Aruba; 112,7 ; 113,2 ; 137,3 ; 110,5 ; 155,5 ;8%
Alemania; 0,0 ; 0,0 ;;; 129,7 ;774%
Curacao; 104,5 ; 83,4 ; 101,8 ; 59,9 ; 118,0 ;3%
México; 40,1 ;; 37,9 ;; 97,2 ;25%
Australia; 97,5 ; 203,2 ; 209,4 ; 132,5 ; 59,2 ;-12%
Ucrania;;;; 101,9 ; 50,9 ;No aplica
Italia;;;;; 41,2 ;No aplica
Israel;;;;; 24,8 ;No aplica
Trinidad y Tobago;;;;; 22,1 ;No aplica
República Dominicana;; 0,9 ;;; 20,9 ;No aplica
Portugal;;;; 18,4 ; 15,0 ;No aplica
Guadalupe; 22,6 ; 1,7 ; 1,0 ; 1,3 ; 2,9 ;-40%
Uruguay;;;; 0,8 ; 2,3 ;No aplica
Guayana Francesa;; 1,5 ; 0,5 ; 1,0 ; 0,4 ;No aplica
Francia;;; 9,6 ; 42,8 ;;No aplica
Bélgica; 359,9 ; 391,8 ; 386,7 ; 126,3 ;;-100%
Perú;;; 40,8 ;;;No aplica
Chile;; 38,7 ;;;;No aplica
Bermudas;;; 4,3 ;;;No aplica
Argentina; 2,2 ;;;;;-100%
Antillas Holandesas;; 22,6 ;;;;No aplica
Irlanda;;; 45,8 ;;;No aplica
Reino Unido-UE; 3.022,0 ;;;;;-100%
Total general; 33.917,1 ; 33.730,3 ; 38.520,6 ; 38.945,1 ; 45.421,3 ;8%
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;