DestinosExportacion;Peso_Anno2019;Peso_Anno2020;Peso_Anno2021;Peso_Anno2022;Peso_Anno2023;Valor_CAGR_1923
Estados Unidos ; 43.737,2 ; 52.822,5 ; 48.256,9 ; 45.360,0 ; 52.766,0 ;5%
Holanda ; 10.131,5 ; 12.387,9 ; 17.115,5 ; 16.646,7 ; 20.848,7 ;20%
Francia ; 1.085,7 ; 1.625,4 ; 1.482,9 ; 3.450,2 ; 4.854,1 ;45%
España ; 6.681,3 ; 10.687,9 ; 7.860,5 ; 3.109,6 ; 4.684,4 ;-8%
Canadá ; 1.408,0 ; 1.622,8 ; 2.449,4 ; 2.404,4 ; 3.204,5 ;23%
Reino Unido-No UE ;; 1.695,1 ; 2.479,5 ; 1.745,6 ; 2.015,7 ;No aplica
Bélgica ; 4.281,5 ; 2.438,3 ; 2.501,4 ; 1.470,1 ; 1.082,7 ;-29%
Puerto Rico ; 1.654,7 ; 1.854,7 ; 1.742,2 ; 1.222,3 ; 1.061,4 ;-11%
Portugal ; 3.230,6 ; 4.112,6 ; 2.760,6 ; 344,8 ; 208,0 ;-50%
México ; 19,0 ; 19,1 ; 144,1 ; 44,5 ; 95,1 ;50%
Colombia ;; 16,5 ; 125,9 ; 120,6 ; 70,8 ;No aplica
Guadalupe ; 343,9 ; 97,5 ; 53,8 ; 63,3 ; 69,7 ;-33%
Túnez ;; 6,6 ; 61,1 ; 4,2 ; 69,6 ;No aplica
Australia ;;;;; 45,3 ;No aplica
Martinica ; 83,0 ; 56,6 ; 35,1 ; 88,3 ; 44,0 ;-15%
Egipto ;;;;; 30,3 ;No aplica
Guatemala ; 4,0 ; 7,4 ; 16,0 ; 8,3 ; 28,5 ;63%
Aruba ; 78,1 ; 42,1 ; 34,8 ; 30,4 ; 22,8 ;-26%
Honduras ; 1,7 ; 5,9 ; 18,5 ; 15,9 ; 21,1 ;87%
San Martín ;; 10,5 ; 30,9 ; 17,6 ; 5,2 ;No aplica
Panamá ; 4,5 ;; 2,8 ; 0,9 ; 4,2 ;-2%
Turquía ;; 4,9 ; 47,4 ; 2,5 ; 3,8 ;No aplica
Italia ; 168,5 ; 109,9 ; 186,9 ; 59,1 ; 1,1 ;-71%
Ecuador ; 83,6 ;;;;;-100%
Malta ;;;; -   ;;No aplica
Hong Kong ; 0,0 ;;;;;-100%
Argentina ; 59,1 ; 92,3 ; 2,2 ;;;-100%
Rusia ; 2,2 ;;;;;-100%
Corea del Sur ; 20,7 ;;;;;-100%
Taiwán ; 6,1 ;;;;;-100%
Ucrania ;; 6,9 ;;;;No aplica
China ; 0,1 ;;;;;-100%
Reino Unido-UE ; 1.909,5 ;;;;;-100%
República Dominicana ; 34,9 ; 16,4 ;;;;-100%
Alemania ; 72,6 ; 0,2 ;;;;-100%
Total general ; 75.102,3 ; 89.739,9 ; 87.408,6 ; 76.209,4 ; 91.237,1 ;5%